CIUDAD,PAIS,DIA,TEMPERATURAS,PRECIPITACIONES,PRESION
ZARAGOZA,ESPAÑA,2020-11-16,12,0,MEDIA
BILBAO,ESPAÑA,2020-11-16,12,0,MEDIA
BARCELONA,ESPAÑA,2020-11-16,18,0,MEDIA
GRANADA,ESPAÑA,2020-11-16,5,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-16,19,0,MEDIA
OPORTO,PORTUGAL,2020-11-17,13,11,BAJA
LISBOA,PORTUGAL,2020-11-17,5,7,BAJA
VILA DO CORVO,PORTUGAL,2020-11-17,18,7,BAJA
IBIZA,ESPAÑA,2020-11-17,7,4,BAJA
MADRID,ESPAÑA,2020-11-17,6,2,BAJA
PAMPLONA,ESPAÑA,2020-11-17,11,8,BAJA
MURCIA,ESPAÑA,2020-11-17,5,9,BAJA
SEVILLA,ESPAÑA,2020-11-17,5,11,BAJA
TENERIFE,ESPAÑA,2020-11-17,5,18,BAJA
TENERIFE,ESPAÑA,2020-11-17,17,9,BAJA
VIGO,ESPAÑA,2020-11-17,6,4,BAJA
VALLADOLID,ESPAÑA,2020-11-17,15,13,BAJA
ZARAGOZA,ESPAÑA,2020-11-17,13,6,BAJA
BILBAO,ESPAÑA,2020-11-17,5,17,BAJA
BARCELONA,ESPAÑA,2020-11-17,12,14,BAJA
GRANADA,ESPAÑA,2020-11-17,17,11,BAJA
CASABLANCA,MARRUECOS,2020-11-17,16,17,BAJA
OPORTO,PORTUGAL,2020-11-18,6,0,MEDIA
LISBOA,PORTUGAL,2020-11-18,14,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-18,6,0,MEDIA
IBIZA,ESPAÑA,2020-11-18,11,0,MEDIA
MADRID,ESPAÑA,2020-11-18,17,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-18,12,0,MEDIA
MURCIA,ESPAÑA,2020-11-18,5,0,MEDIA
SEVILLA,ESPAÑA,2020-11-18,14,0,MEDIA
TENERIFE,ESPAÑA,2020-11-18,7,0,MEDIA
TENERIFE,ESPAÑA,2020-11-18,19,0,MEDIA
VIGO,ESPAÑA,2020-11-18,16,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-18,10,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-18,7,0,MEDIA
BILBAO,ESPAÑA,2020-11-18,18,0,MEDIA
BARCELONA,ESPAÑA,2020-11-18,13,0,MEDIA
GRANADA,ESPAÑA,2020-11-18,5,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-18,15,0,MEDIA
OPORTO,PORTUGAL,2020-11-19,9,0,MEDIA
LISBOA,PORTUGAL,2020-11-19,16,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-19,17,0,MEDIA
IBIZA,ESPAÑA,2020-11-19,12,0,MEDIA
MADRID,ESPAÑA,2020-11-19,8,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-19,11,0,MEDIA
MURCIA,ESPAÑA,2020-11-19,10,0,MEDIA
SEVILLA,ESPAÑA,2020-11-19,5,0,MEDIA
TENERIFE,ESPAÑA,2020-11-19,18,0,MEDIA
TENERIFE,ESPAÑA,2020-11-19,12,0,MEDIA
VIGO,ESPAÑA,2020-11-19,9,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-19,5,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-19,7,0,MEDIA
BILBAO,ESPAÑA,2020-11-19,7,0,MEDIA
BARCELONA,ESPAÑA,2020-11-19,16,0,MEDIA
GRANADA,ESPAÑA,2020-11-19,14,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-19,18,0,MEDIA
OPORTO,PORTUGAL,2020-11-20,16,10,BAJA
LISBOA,PORTUGAL,2020-11-20,17,7,BAJA
VILA DO CORVO,PORTUGAL,2020-11-20,6,13,BAJA
IBIZA,ESPAÑA,2020-11-20,7,1,BAJA
MADRID,ESPAÑA,2020-11-20,14,1,BAJA
PAMPLONA,ESPAÑA,2020-11-20,8,2,BAJA
MURCIA,ESPAÑA,2020-11-20,7,6,BAJA
SEVILLA,ESPAÑA,2020-11-20,12,6,BAJA
TENERIFE,ESPAÑA,2020-11-20,13,19,BAJA
TENERIFE,ESPAÑA,2020-11-20,11,14,BAJA
VIGO,ESPAÑA,2020-11-20,17,18,BAJA
VALLADOLID,ESPAÑA,2020-11-20,16,12,BAJA
ZARAGOZA,ESPAÑA,2020-11-20,13,17,BAJA
BILBAO,ESPAÑA,2020-11-20,10,16,BAJA
BARCELONA,ESPAÑA,2020-11-20,17,7,BAJA
GRANADA,ESPAÑA,2020-11-20,16,6,BAJA
CASABLANCA,MARRUECOS,2020-11-20,16,18,BAJA
OPORTO,PORTUGAL,2020-11-21,10,0,MEDIA
LISBOA,PORTUGAL,2020-11-21,13,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-21,5,0,MEDIA
IBIZA,ESPAÑA,2020-11-21,5,0,MEDIA
MADRID,ESPAÑA,2020-11-21,5,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-21,14,0,MEDIA
MURCIA,ESPAÑA,2020-11-21,10,0,MEDIA
SEVILLA,ESPAÑA,2020-11-21,9,0,MEDIA
TENERIFE,ESPAÑA,2020-11-21,18,0,MEDIA
TENERIFE,ESPAÑA,2020-11-21,9,0,MEDIA
VIGO,ESPAÑA,2020-11-21,5,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-21,12,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-21,19,0,MEDIA
BILBAO,ESPAÑA,2020-11-21,10,0,MEDIA
BARCELONA,ESPAÑA,2020-11-21,16,0,MEDIA
GRANADA,ESPAÑA,2020-11-21,13,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-21,11,0,MEDIA
OPORTO,PORTUGAL,2020-11-22,15,0,MEDIA
LISBOA,PORTUGAL,2020-11-22,15,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-22,18,0,MEDIA
IBIZA,ESPAÑA,2020-11-22,7,0,MEDIA
MADRID,ESPAÑA,2020-11-22,18,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-22,12,0,MEDIA
MURCIA,ESPAÑA,2020-11-22,5,0,MEDIA
SEVILLA,ESPAÑA,2020-11-22,17,0,MEDIA
TENERIFE,ESPAÑA,2020-11-22,16,0,MEDIA
TENERIFE,ESPAÑA,2020-11-22,19,0,MEDIA
VIGO,ESPAÑA,2020-11-22,17,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-22,7,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-22,5,0,MEDIA
BILBAO,ESPAÑA,2020-11-22,8,0,MEDIA
BARCELONA,ESPAÑA,2020-11-22,10,0,MEDIA
GRANADA,ESPAÑA,2020-11-22,18,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-22,10,0,MEDIA
OPORTO,PORTUGAL,2020-11-23,18,6,BAJA
LISBOA,PORTUGAL,2020-11-23,7,6,BAJA
VILA DO CORVO,PORTUGAL,2020-11-23,9,13,BAJA
IBIZA,ESPAÑA,2020-11-23,12,12,BAJA
MADRID,ESPAÑA,2020-11-23,10,1,BAJA
PAMPLONA,ESPAÑA,2020-11-23,7,7,BAJA
MURCIA,ESPAÑA,2020-11-23,12,18,BAJA
SEVILLA,ESPAÑA,2020-11-23,13,13,BAJA
TENERIFE,ESPAÑA,2020-11-23,15,6,BAJA
TENERIFE,ESPAÑA,2020-11-23,9,8,BAJA
VIGO,ESPAÑA,2020-11-23,15,13,BAJA
VALLADOLID,ESPAÑA,2020-11-23,15,6,BAJA
ZARAGOZA,ESPAÑA,2020-11-23,17,16,BAJA
BILBAO,ESPAÑA,2020-11-23,6,11,BAJA
BARCELONA,ESPAÑA,2020-11-23,18,16,BAJA
GRANADA,ESPAÑA,2020-11-23,10,16,BAJA
CASABLANCA,MARRUECOS,2020-11-23,17,10,BAJA
OPORTO,PORTUGAL,2020-11-24,8,0,MEDIA
LISBOA,PORTUGAL,2020-11-24,8,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-24,16,0,MEDIA
IBIZA,ESPAÑA,2020-11-24,8,0,MEDIA
MADRID,ESPAÑA,2020-11-24,5,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-24,13,0,MEDIA
MURCIA,ESPAÑA,2020-11-24,7,0,MEDIA
SEVILLA,ESPAÑA,2020-11-24,11,0,MEDIA
TENERIFE,ESPAÑA,2020-11-24,16,0,MEDIA
TENERIFE,ESPAÑA,2020-11-24,8,0,MEDIA
VIGO,ESPAÑA,2020-11-24,15,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-24,14,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-24,16,0,MEDIA
BILBAO,ESPAÑA,2020-11-24,5,0,MEDIA
BARCELONA,ESPAÑA,2020-11-24,7,0,MEDIA
GRANADA,ESPAÑA,2020-11-24,14,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-24,11,0,MEDIA
OPORTO,PORTUGAL,2020-11-25,16,0,MEDIA
LISBOA,PORTUGAL,2020-11-25,14,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-25,8,0,MEDIA
IBIZA,ESPAÑA,2020-11-25,16,0,MEDIA
MADRID,ESPAÑA,2020-11-25,12,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-25,11,0,MEDIA
MURCIA,ESPAÑA,2020-11-25,11,0,MEDIA
SEVILLA,ESPAÑA,2020-11-25,18,0,MEDIA
TENERIFE,ESPAÑA,2020-11-25,18,0,MEDIA
TENERIFE,ESPAÑA,2020-11-25,11,0,MEDIA
VIGO,ESPAÑA,2020-11-25,19,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-25,10,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-25,14,0,MEDIA
BILBAO,ESPAÑA,2020-11-25,14,0,MEDIA
BARCELONA,ESPAÑA,2020-11-25,18,0,MEDIA
GRANADA,ESPAÑA,2020-11-25,9,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-25,10,0,MEDIA
OPORTO,PORTUGAL,2020-11-26,14,18,BAJA
LISBOA,PORTUGAL,2020-11-26,10,17,BAJA
VILA DO CORVO,PORTUGAL,2020-11-26,12,14,BAJA
IBIZA,ESPAÑA,2020-11-26,5,5,BAJA
MADRID,ESPAÑA,2020-11-26,19,19,BAJA
PAMPLONA,ESPAÑA,2020-11-26,9,4,BAJA
MURCIA,ESPAÑA,2020-11-26,13,15,BAJA
SEVILLA,ESPAÑA,2020-11-26,12,17,BAJA
TENERIFE,ESPAÑA,2020-11-26,9,6,BAJA
TENERIFE,ESPAÑA,2020-11-26,8,11,BAJA
VIGO,ESPAÑA,2020-11-26,13,13,BAJA
VALLADOLID,ESPAÑA,2020-11-26,10,13,BAJA
ZARAGOZA,ESPAÑA,2020-11-26,16,12,BAJA
BILBAO,ESPAÑA,2020-11-26,5,15,BAJA
BARCELONA,ESPAÑA,2020-11-26,12,4,BAJA
GRANADA,ESPAÑA,2020-11-26,6,9,BAJA
CASABLANCA,MARRUECOS,2020-11-26,6,6,BAJA
OPORTO,PORTUGAL,2020-11-27,8,0,MEDIA
LISBOA,PORTUGAL,2020-11-27,15,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-27,16,0,MEDIA
IBIZA,ESPAÑA,2020-11-27,18,0,MEDIA
MADRID,ESPAÑA,2020-11-27,15,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-27,5,0,MEDIA
MURCIA,ESPAÑA,2020-11-27,16,0,MEDIA
SEVILLA,ESPAÑA,2020-11-27,7,0,MEDIA
TENERIFE,ESPAÑA,2020-11-27,9,0,MEDIA
TENERIFE,ESPAÑA,2020-11-27,19,0,MEDIA
VIGO,ESPAÑA,2020-11-27,14,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-27,15,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-27,8,0,MEDIA
BILBAO,ESPAÑA,2020-11-27,14,0,MEDIA
BARCELONA,ESPAÑA,2020-11-27,16,0,MEDIA
GRANADA,ESPAÑA,2020-11-27,8,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-27,6,0,MEDIA
OPORTO,PORTUGAL,2020-11-28,11,0,MEDIA
LISBOA,PORTUGAL,2020-11-28,14,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-28,7,0,MEDIA
IBIZA,ESPAÑA,2020-11-28,10,0,MEDIA
MADRID,ESPAÑA,2020-11-28,10,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-28,6,0,MEDIA
MURCIA,ESPAÑA,2020-11-28,15,0,MEDIA
SEVILLA,ESPAÑA,2020-11-28,9,0,MEDIA
TENERIFE,ESPAÑA,2020-11-28,19,0,MEDIA
TENERIFE,ESPAÑA,2020-11-28,19,0,MEDIA
VIGO,ESPAÑA,2020-11-28,11,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-28,12,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-28,11,0,MEDIA
BILBAO,ESPAÑA,2020-11-28,9,0,MEDIA
BARCELONA,ESPAÑA,2020-11-28,11,0,MEDIA
GRANADA,ESPAÑA,2020-11-28,9,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-28,18,0,MEDIA
OPORTO,PORTUGAL,2020-11-29,13,9,BAJA
LISBOA,PORTUGAL,2020-11-29,18,1,BAJA
VILA DO CORVO,PORTUGAL,2020-11-29,15,19,BAJA
IBIZA,ESPAÑA,2020-11-29,16,17,BAJA
MADRID,ESPAÑA,2020-11-29,5,8,BAJA
PAMPLONA,ESPAÑA,2020-11-29,11,11,BAJA
MURCIA,ESPAÑA,2020-11-29,19,18,BAJA
SEVILLA,ESPAÑA,2020-11-29,16,18,BAJA
TENERIFE,ESPAÑA,2020-11-29,14,17,BAJA
TENERIFE,ESPAÑA,2020-11-29,6,18,BAJA
VIGO,ESPAÑA,2020-11-29,15,7,BAJA
VALLADOLID,ESPAÑA,2020-11-29,7,8,BAJA
ZARAGOZA,ESPAÑA,2020-11-29,18,14,BAJA
BILBAO,ESPAÑA,2020-11-29,12,19,BAJA
BARCELONA,ESPAÑA,2020-11-29,18,10,BAJA
GRANADA,ESPAÑA,2020-11-29,19,13,BAJA
CASABLANCA,MARRUECOS,2020-11-29,19,10,BAJA
OPORTO,PORTUGAL,2020-11-30,14,0,MEDIA
LISBOA,PORTUGAL,2020-11-30,18,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-11-30,17,0,MEDIA
IBIZA,ESPAÑA,2020-11-30,7,0,MEDIA
MADRID,ESPAÑA,2020-11-30,16,0,MEDIA
PAMPLONA,ESPAÑA,2020-11-30,8,0,MEDIA
MURCIA,ESPAÑA,2020-11-30,9,0,MEDIA
SEVILLA,ESPAÑA,2020-11-30,19,0,MEDIA
TENERIFE,ESPAÑA,2020-11-30,18,0,MEDIA
TENERIFE,ESPAÑA,2020-11-30,11,0,MEDIA
VIGO,ESPAÑA,2020-11-30,19,0,MEDIA
VALLADOLID,ESPAÑA,2020-11-30,10,0,MEDIA
ZARAGOZA,ESPAÑA,2020-11-30,12,0,MEDIA
BILBAO,ESPAÑA,2020-11-30,9,0,MEDIA
BARCELONA,ESPAÑA,2020-11-30,16,0,MEDIA
GRANADA,ESPAÑA,2020-11-30,19,0,MEDIA
CASABLANCA,MARRUECOS,2020-11-30,12,0,MEDIA
OPORTO,PORTUGAL,2020-12-01,9,0,MEDIA
LISBOA,PORTUGAL,2020-12-01,12,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-12-01,18,0,MEDIA
IBIZA,ESPAÑA,2020-12-01,6,0,MEDIA
MADRID,ESPAÑA,2020-12-01,6,0,MEDIA
PAMPLONA,ESPAÑA,2020-12-01,7,0,MEDIA
MURCIA,ESPAÑA,2020-12-01,10,0,MEDIA
SEVILLA,ESPAÑA,2020-12-01,14,0,MEDIA
TENERIFE,ESPAÑA,2020-12-01,17,0,MEDIA
TENERIFE,ESPAÑA,2020-12-01,8,0,MEDIA
VIGO,ESPAÑA,2020-12-01,14,0,MEDIA
VALLADOLID,ESPAÑA,2020-12-01,14,0,MEDIA
ZARAGOZA,ESPAÑA,2020-12-01,16,0,MEDIA
BILBAO,ESPAÑA,2020-12-01,19,0,MEDIA
BARCELONA,ESPAÑA,2020-12-01,8,0,MEDIA
GRANADA,ESPAÑA,2020-12-01,7,0,MEDIA
CASABLANCA,MARRUECOS,2020-12-01,15,0,MEDIA
OPORTO,PORTUGAL,2020-12-02,19,11,BAJA
LISBOA,PORTUGAL,2020-12-02,16,17,BAJA
VILA DO CORVO,PORTUGAL,2020-12-02,11,19,BAJA
IBIZA,ESPAÑA,2020-12-02,9,11,BAJA
MADRID,ESPAÑA,2020-12-02,7,16,BAJA
PAMPLONA,ESPAÑA,2020-12-02,11,12,BAJA
MURCIA,ESPAÑA,2020-12-02,12,13,BAJA
SEVILLA,ESPAÑA,2020-12-02,11,16,BAJA
TENERIFE,ESPAÑA,2020-12-02,11,12,BAJA
TENERIFE,ESPAÑA,2020-12-02,8,4,BAJA
VIGO,ESPAÑA,2020-12-02,9,3,BAJA
VALLADOLID,ESPAÑA,2020-12-02,15,12,BAJA
ZARAGOZA,ESPAÑA,2020-12-02,10,14,BAJA
BILBAO,ESPAÑA,2020-12-02,10,19,BAJA
BARCELONA,ESPAÑA,2020-12-02,19,18,BAJA
GRANADA,ESPAÑA,2020-12-02,14,6,BAJA
CASABLANCA,MARRUECOS,2020-12-02,6,10,BAJA
OPORTO,PORTUGAL,2020-12-03,11,0,MEDIA
LISBOA,PORTUGAL,2020-12-03,7,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-12-03,12,0,MEDIA
IBIZA,ESPAÑA,2020-12-03,10,0,MEDIA
MADRID,ESPAÑA,2020-12-03,19,0,MEDIA
PAMPLONA,ESPAÑA,2020-12-03,12,0,MEDIA
MURCIA,ESPAÑA,2020-12-03,10,0,MEDIA
SEVILLA,ESPAÑA,2020-12-03,11,0,MEDIA
TENERIFE,ESPAÑA,2020-12-03,16,0,MEDIA
TENERIFE,ESPAÑA,2020-12-03,17,0,MEDIA
VIGO,ESPAÑA,2020-12-03,6,0,MEDIA
VALLADOLID,ESPAÑA,2020-12-03,9,0,MEDIA
ZARAGOZA,ESPAÑA,2020-12-03,12,0,MEDIA
BILBAO,ESPAÑA,2020-12-03,19,0,MEDIA
BARCELONA,ESPAÑA,2020-12-03,15,0,MEDIA
GRANADA,ESPAÑA,2020-12-03,10,0,MEDIA
CASABLANCA,MARRUECOS,2020-12-03,14,0,MEDIA
OPORTO,PORTUGAL,2020-12-04,19,0,MEDIA
LISBOA,PORTUGAL,2020-12-04,14,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-12-04,9,0,MEDIA
IBIZA,ESPAÑA,2020-12-04,12,0,MEDIA
MADRID,ESPAÑA,2020-12-04,19,0,MEDIA
PAMPLONA,ESPAÑA,2020-12-04,16,0,MEDIA
MURCIA,ESPAÑA,2020-12-04,10,0,MEDIA
SEVILLA,ESPAÑA,2020-12-04,5,0,MEDIA
TENERIFE,ESPAÑA,2020-12-04,19,0,MEDIA
TENERIFE,ESPAÑA,2020-12-04,8,0,MEDIA
VIGO,ESPAÑA,2020-12-04,9,0,MEDIA
VALLADOLID,ESPAÑA,2020-12-04,15,0,MEDIA
ZARAGOZA,ESPAÑA,2020-12-04,8,0,MEDIA
BILBAO,ESPAÑA,2020-12-04,16,0,MEDIA
BARCELONA,ESPAÑA,2020-12-04,10,0,MEDIA
GRANADA,ESPAÑA,2020-12-04,6,0,MEDIA
CASABLANCA,MARRUECOS,2020-12-04,8,0,MEDIA
OPORTO,PORTUGAL,2020-12-05,17,9,BAJA
LISBOA,PORTUGAL,2020-12-05,7,2,BAJA
VILA DO CORVO,PORTUGAL,2020-12-05,7,19,BAJA
IBIZA,ESPAÑA,2020-12-05,17,18,BAJA
MADRID,ESPAÑA,2020-12-05,7,4,BAJA
PAMPLONA,ESPAÑA,2020-12-05,7,13,BAJA
MURCIA,ESPAÑA,2020-12-05,15,3,BAJA
SEVILLA,ESPAÑA,2020-12-05,19,13,BAJA
TENERIFE,ESPAÑA,2020-12-05,17,9,BAJA
TENERIFE,ESPAÑA,2020-12-05,17,14,BAJA
VIGO,ESPAÑA,2020-12-05,10,6,BAJA
VALLADOLID,ESPAÑA,2020-12-05,15,8,BAJA
ZARAGOZA,ESPAÑA,2020-12-05,10,14,BAJA
BILBAO,ESPAÑA,2020-12-05,11,4,BAJA
BARCELONA,ESPAÑA,2020-12-05,17,12,BAJA
GRANADA,ESPAÑA,2020-12-05,11,11,BAJA
CASABLANCA,MARRUECOS,2020-12-05,19,13,BAJA
OPORTO,PORTUGAL,2020-12-06,5,0,MEDIA
LISBOA,PORTUGAL,2020-12-06,6,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-12-06,17,0,MEDIA
IBIZA,ESPAÑA,2020-12-06,6,0,MEDIA
MADRID,ESPAÑA,2020-12-06,16,0,MEDIA
PAMPLONA,ESPAÑA,2020-12-06,14,0,MEDIA
MURCIA,ESPAÑA,2020-12-06,9,0,MEDIA
SEVILLA,ESPAÑA,2020-12-06,7,0,MEDIA
TENERIFE,ESPAÑA,2020-12-06,12,0,MEDIA
TENERIFE,ESPAÑA,2020-12-06,11,0,MEDIA
VIGO,ESPAÑA,2020-12-06,13,0,MEDIA
VALLADOLID,ESPAÑA,2020-12-06,13,0,MEDIA
ZARAGOZA,ESPAÑA,2020-12-06,5,0,MEDIA
BILBAO,ESPAÑA,2020-12-06,16,0,MEDIA
BARCELONA,ESPAÑA,2020-12-06,10,0,MEDIA
GRANADA,ESPAÑA,2020-12-06,16,0,MEDIA
CASABLANCA,MARRUECOS,2020-12-06,19,0,MEDIA
OPORTO,PORTUGAL,2020-12-07,9,0,MEDIA
LISBOA,PORTUGAL,2020-12-07,10,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-12-07,10,0,MEDIA
IBIZA,ESPAÑA,2020-12-07,7,0,MEDIA
MADRID,ESPAÑA,2020-12-07,9,0,MEDIA
PAMPLONA,ESPAÑA,2020-12-07,18,0,MEDIA
MURCIA,ESPAÑA,2020-12-07,11,0,MEDIA
SEVILLA,ESPAÑA,2020-12-07,12,0,MEDIA
TENERIFE,ESPAÑA,2020-12-07,19,0,MEDIA
TENERIFE,ESPAÑA,2020-12-07,18,0,MEDIA
VIGO,ESPAÑA,2020-12-07,6,0,MEDIA
VALLADOLID,ESPAÑA,2020-12-07,19,0,MEDIA
ZARAGOZA,ESPAÑA,2020-12-07,8,0,MEDIA
BILBAO,ESPAÑA,2020-12-07,19,0,MEDIA
BARCELONA,ESPAÑA,2020-12-07,12,0,MEDIA
GRANADA,ESPAÑA,2020-12-07,8,0,MEDIA
CASABLANCA,MARRUECOS,2020-12-07,5,0,MEDIA
OPORTO,PORTUGAL,2020-12-08,13,15,BAJA
LISBOA,PORTUGAL,2020-12-08,16,6,BAJA
VILA DO CORVO,PORTUGAL,2020-12-08,19,7,BAJA
IBIZA,ESPAÑA,2020-12-08,10,10,BAJA
MADRID,ESPAÑA,2020-12-08,6,8,BAJA
PAMPLONA,ESPAÑA,2020-12-08,19,19,BAJA
MURCIA,ESPAÑA,2020-12-08,11,12,BAJA
SEVILLA,ESPAÑA,2020-12-08,19,18,BAJA
TENERIFE,ESPAÑA,2020-12-08,17,14,BAJA
TENERIFE,ESPAÑA,2020-12-08,8,1,BAJA
VIGO,ESPAÑA,2020-12-08,18,7,BAJA
VALLADOLID,ESPAÑA,2020-12-08,5,13,BAJA
ZARAGOZA,ESPAÑA,2020-12-08,10,3,BAJA
BILBAO,ESPAÑA,2020-12-08,16,13,BAJA
BARCELONA,ESPAÑA,2020-12-08,7,3,BAJA
GRANADA,ESPAÑA,2020-12-08,8,15,BAJA
CASABLANCA,MARRUECOS,2020-12-08,9,11,BAJA
OPORTO,PORTUGAL,2020-12-09,14,0,MEDIA
LISBOA,PORTUGAL,2020-12-09,5,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-12-09,11,0,MEDIA
IBIZA,ESPAÑA,2020-12-09,17,0,MEDIA
MADRID,ESPAÑA,2020-12-09,14,0,MEDIA
PAMPLONA,ESPAÑA,2020-12-09,12,0,MEDIA
MURCIA,ESPAÑA,2020-12-09,10,0,MEDIA
SEVILLA,ESPAÑA,2020-12-09,5,0,MEDIA
TENERIFE,ESPAÑA,2020-12-09,15,0,MEDIA
TENERIFE,ESPAÑA,2020-12-09,6,0,MEDIA
VIGO,ESPAÑA,2020-12-09,14,0,MEDIA
VALLADOLID,ESPAÑA,2020-12-09,13,0,MEDIA
ZARAGOZA,ESPAÑA,2020-12-09,6,0,MEDIA
BILBAO,ESPAÑA,2020-12-09,6,0,MEDIA
BARCELONA,ESPAÑA,2020-12-09,12,0,MEDIA
GRANADA,ESPAÑA,2020-12-09,19,0,MEDIA
CASABLANCA,MARRUECOS,2020-12-09,19,0,MEDIA
OPORTO,PORTUGAL,2020-12-10,11,0,MEDIA
LISBOA,PORTUGAL,2020-12-10,19,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-12-10,5,0,MEDIA
IBIZA,ESPAÑA,2020-12-10,17,0,MEDIA
MADRID,ESPAÑA,2020-12-10,7,0,MEDIA
PAMPLONA,ESPAÑA,2020-12-10,10,0,MEDIA
MURCIA,ESPAÑA,2020-12-10,13,0,MEDIA
SEVILLA,ESPAÑA,2020-12-10,19,0,MEDIA
TENERIFE,ESPAÑA,2020-12-10,15,0,MEDIA
TENERIFE,ESPAÑA,2020-12-10,17,0,MEDIA
VIGO,ESPAÑA,2020-12-10,10,0,MEDIA
VALLADOLID,ESPAÑA,2020-12-10,10,0,MEDIA
ZARAGOZA,ESPAÑA,2020-12-10,7,0,MEDIA
BILBAO,ESPAÑA,2020-12-10,7,0,MEDIA
BARCELONA,ESPAÑA,2020-12-10,8,0,MEDIA
GRANADA,ESPAÑA,2020-12-10,6,0,MEDIA
CASABLANCA,MARRUECOS,2020-12-10,16,0,MEDIA
OPORTO,PORTUGAL,2020-12-11,12,10,BAJA
LISBOA,PORTUGAL,2020-12-11,7,13,BAJA
VILA DO CORVO,PORTUGAL,2020-12-11,5,11,BAJA
IBIZA,ESPAÑA,2020-12-11,13,1,BAJA
MADRID,ESPAÑA,2020-12-11,19,17,BAJA
PAMPLONA,ESPAÑA,2020-12-11,12,8,BAJA
MURCIA,ESPAÑA,2020-12-11,6,10,BAJA
SEVILLA,ESPAÑA,2020-12-11,6,18,BAJA
TENERIFE,ESPAÑA,2020-12-11,18,5,BAJA
TENERIFE,ESPAÑA,2020-12-11,16,17,BAJA
VIGO,ESPAÑA,2020-12-11,17,4,BAJA
VALLADOLID,ESPAÑA,2020-12-11,17,9,BAJA
ZARAGOZA,ESPAÑA,2020-12-11,16,19,BAJA
BILBAO,ESPAÑA,2020-12-11,12,9,BAJA
BARCELONA,ESPAÑA,2020-12-11,5,1,BAJA
GRANADA,ESPAÑA,2020-12-11,10,14,BAJA
CASABLANCA,MARRUECOS,2020-12-11,10,1,BAJA
OPORTO,PORTUGAL,2020-12-12,16,0,MEDIA
LISBOA,PORTUGAL,2020-12-12,17,0,MEDIA
VILA DO CORVO,PORTUGAL,2020-12-12,17,0,MEDIA
IBIZA,ESPAÑA,2020-12-12,10,0,MEDIA
MADRID,ESPAÑA,2020-12-12,15,0,MEDIA
PAMPLONA,ESPAÑA,2020-12-12,19,0,MEDIA
MURCIA,ESPAÑA,2020-12-12,11,0,MEDIA
SEVILLA,ESPAÑA,2020-12-12,13,0,MEDIA
TENERIFE,ESPAÑA,2020-12-12,19,0,MEDIA
TENERIFE,ESPAÑA,2020-12-12,13,0,MEDIA
VIGO,ESPAÑA,2020-12-12,12,0,MEDIA
VALLADOLID,ESPAÑA,2020-12-12,7,0,MEDIA
